1 -270.685 46.0849
1 168.849 224.517
1 314.452 -157.225
1 108.496 -261.231
0 -262.889 -89.0339
0 -343.792 -80.0339
0 -336.545 59.8577
0 -182.97 224.904
0 -69.0693 228.237
0 117.058 165.237
0 340.55 122.427
0 242.62 59.8025
0 310.49 -89.8325
0 204.04 -267.758
0 75.5451 -209.425
0 -119.516 -248.122
2 -26.5544 433.653
2 306.237 398.188
2 491.25 243.267
2 526.639 -114.076
2 494.684 -374.817
2 142.556 -450.309
2 -286.183 -430.201
2 -565.426 -100.069
2 -598.536 227.384
2 -67.6281 173.438
2 219.368 -78.5814
2 -185.081 -241.582
3 615.983 123.31
3 519.591 -251.159
3 -56.18 -371.098
3 -491.656 -305.901
3 -607.604 -9.57739
3 -504.52 317.28
3 -162.691 432.921
3 14.7146 401.855
3 332.481 451.284
3 61.4851 176.999
3 -309.664 -84.8975
3 -76.5833 -180.992
4 -336.08 -152.096
4 -63.4807 -250.319
4 329.152 70.8843
4 78.2637 257.314
4 -140.947 196.903
4 -339.018 153.703
5 79.9119 116.189
5 -108.126 -108.039
5 -413.121 -493.239
5 -76.3808 -497.976
5 271.326 -493.588
5 680.276 -233.857
5 675.848 -66.0416
5 669.515 176.635
5 209.122 471.131
5 -150.012 478.797
5 -413.146 474.224
5 -675.343 314.492
5 -683.041 95.6178
5 -679.426 -219.878
6 -517.996 116.673
6 -311.546 419.625
6 110.456 419.549
6 494.436 45.1532
6 427.243 -326.355
6 62.8514 -409.201
6 -394.852 -318.477
7 -422.329 -90.7082
7 -424.044 163.643
7 -154.771 329.762
7 178.32 332.095
7 643.341 49.7691
7 643.341 -175.738
7 97.8435 -499.664
7 -269.325 -495.612
7 -78.3356 110.405
7 74.8879 -109.585
